,Time,Tp,Cl,pH,Redox,Leit,Trueb,Cl_2,Fm,Fm_2,EVENT
71,2016-02-15 14:04:00,4.4,0.14,8.4,755,235,0.015,0.113,1439,1012,FALSE
72,2016-02-15 14:05:00,4.4,0.14,8.4,755,235,0.017,0.111,1440,1017,FALSE
73,2016-02-15 14:06:00,4.4,0.14,8.4,755,235,0.018,0.113,1442,1011,FALSE
74,2016-02-15 14:07:00,4.4,0.14,8.4,755,235,0.015,0.11,1478,1018,FALSE
75,2016-02-15 14:08:00,4.4,0.14,8.4,755,235,0.016,0.111,1475,1024,FALSE
76,2016-02-15 14:09:00,4.4,0.14,8.4,755,235,0.01,0.111,1420,1017,FALSE
77,2016-02-15 14:10:00,4.4,0.14,8.4,755,235,0.012,0.113,1453,1009,FALSE
78,2016-02-15 14:11:00,4.4,0.13,8.39,755,235,0.017,0.113,1459,1002,FALSE
79,2016-02-15 14:12:00,4.4,0.13,8.39,755,235,0.014,0.113,1429,1017,FALSE
80,2016-02-15 14:13:00,4.4,0.14,8.39,755,235,0.012,0.113,1400,1018,FALSE
81,2016-02-15 14:14:00,4.4,0.14,8.39,755,235,0.013,0.113,1445,1018,FALSE
82,2016-02-15 14:15:00,4.4,0.13,8.39,755,235,0.016,0.114,1568,1015,FALSE
83,2016-02-15 14:16:00,4.4,0.14,8.38,755,235,0.015,0.114,1530,1015,FALSE
84,2016-02-15 14:17:00,4.4,0.14,8.39,755,235,0.012,0.114,1506,1015,FALSE
85,2016-02-15 14:18:00,4.4,0.14,8.39,755,235,0.019,0.114,1517,1019,FALSE
86,2016-02-15 14:19:00,4.4,0.14,8.39,755,235,0.016,0.114,1515,1003,FALSE
87,2016-02-15 14:20:00,4.4,0.14,8.38,755,235,0.016,0.114,1517,1003,FALSE
88,2016-02-15 14:21:00,4.4,0.14,8.38,755,235,0.013,0.114,1511,1002,FALSE
89,2016-02-15 14:22:00,4.4,0.14,8.38,755,235,0.015,0.116,1497,1008,FALSE
90,2016-02-15 14:23:00,4.4,0.14,8.38,755,235,0.017,0.116,1516,1018,FALSE
91,2016-02-15 14:24:00,4.4,0.14,8.38,755,235,0.014,0.114,1510,1017,FALSE
92,2016-02-15 14:25:00,4.4,0.14,8.38,755,235,0.016,0.114,1593,1015,FALSE
93,2016-02-15 14:26:00,4.4,0.14,8.39,755,235,0.015,0.116,1574,1006,FALSE
94,2016-02-15 14:27:00,4.4,0.14,8.39,755,235,0.014,0.114,1584,1017,FALSE
95,2016-02-15 14:28:00,4.4,0.14,8.39,755,235,0.016,0.116,1569,1006,FALSE
96,2016-02-15 14:29:00,4.4,0.14,8.4,755,235,0.014,0.116,1459,1015,FALSE
97,2016-02-15 14:30:00,4.4,0.14,8.39,755,235,0.012,0.114,1486,1013,FALSE
98,2016-02-15 14:31:00,4.4,0.14,8.39,755,235,0.012,0.114,1454,1013,FALSE
99,2016-02-15 14:32:00,4.4,0.14,8.39,755,235,0.016,0.114,1533,1018,FALSE
100,2016-02-15 14:33:00,4.4,0.14,8.39,755,235,0.016,0.114,1527,1015,FALSE
101,2016-02-15 14:34:00,4.4,0.14,8.39,755,235,0.019,0.114,1521,1008,FALSE
102,2016-02-15 14:35:00,4.4,0.14,8.39,755,235,0.013,0.114,1511,1015,FALSE
103,2016-02-15 14:36:00,4.4,0.14,8.39,755,235,0.012,0.114,1545,1006,FALSE
104,2016-02-15 14:37:00,4.4,0.14,8.39,755,235,0.012,0.114,1527,1011,FALSE
105,2016-02-15 14:38:00,4.4,0.14,8.39,755,235,0.015,0.114,1543,1012,FALSE
106,2016-02-15 14:39:00,4.4,0.14,8.39,755,235,0.015,0.114,1592,1019,FALSE
107,2016-02-15 14:40:00,4.4,0.14,8.39,755,235,0.016,0.116,1532,1015,FALSE
108,2016-02-15 14:41:00,4.4,0.14,8.39,755,235,0.015,0.114,1563,1008,FALSE
109,2016-02-15 14:42:00,4.4,0.14,8.39,755,235,0.015,0.113,1540,997,FALSE
110,2016-02-15 14:43:00,4.4,0.14,8.39,755,235,0.016,0.113,1555,1008,FALSE
111,2016-02-15 14:44:00,4.4,0.14,8.39,755,235,0.021,0.113,1527,1009,FALSE
112,2016-02-15 14:45:00,4.4,0.14,8.39,755,235,0.018,0.114,1561,1006,FALSE
113,2016-02-15 14:46:00,4.4,0.14,8.39,755,235,0.015,0.114,1563,1009,FALSE
114,2016-02-15 14:47:00,4.4,0.14,8.39,755,235,0.016,0.113,1561,1001,FALSE
115,2016-02-15 14:48:00,4.4,0.14,8.38,755,235,0.013,0.113,1563,990,FALSE
116,2016-02-15 14:49:00,4.4,0.14,8.39,755,235,0.018,0.111,1574,1005,FALSE
117,2016-02-15 14:50:00,4.4,0.14,8.38,755,235,0.018,0.114,1607,1000,FALSE
118,2016-02-15 14:51:00,4.4,0.14,8.38,755,235,0.013,0.113,1534,996,FALSE
119,2016-02-15 14:52:00,4.4,0.14,8.39,755,235,0.014,0.114,1587,996,FALSE
120,2016-02-15 14:53:00,4.4,0.14,8.38,755,235,0.016,0.113,1546,1002,FALSE
121,2016-02-15 14:54:00,4.4,0.14,8.39,755,235,0.015,0.113,1535,997,FALSE
122,2016-02-15 14:55:00,4.4,0.14,8.38,755,235,0.013,0.113,1568,996,FALSE
123,2016-02-15 14:56:00,4.4,0.13,8.39,755,235,0.013,0.114,1546,991,FALSE
124,2016-02-15 14:57:00,4.4,0.14,8.38,755,235,0.014,0.113,1585,1000,FALSE
125,2016-02-15 14:58:00,4.4,0.14,8.38,755,235,0.012,0.114,1567,996,FALSE
126,2016-02-15 14:59:00,4.4,0.13,8.39,755,235,0.012,0.114,1547,988,FALSE
127,2016-02-15 15:00:00,4.4,0.14,8.38,755,235,0.018,0.114,1563,1000,FALSE
128,2016-02-15 15:01:00,4.4,0.14,8.38,755,235,0.013,0.114,1604,1001,FALSE
129,2016-02-15 15:02:00,4.4,0.14,8.39,755,235,0.01,0.114,1591,996,FALSE
130,2016-02-15 15:03:00,4.4,0.14,8.39,755,235,0.014,0.114,1614,1002,FALSE
131,2016-02-15 15:04:00,4.4,0.14,8.39,755,235,0.014,0.114,1572,1005,FALSE
132,2016-02-15 15:05:00,4.4,0.14,8.39,755,235,0.015,0.115,1601,1000,FALSE
133,2016-02-15 15:06:00,4.4,0.14,8.39,755,235,0.013,0.116,1584,1003,FALSE
134,2016-02-15 15:07:00,4.4,0.14,8.39,755,235,0.011,0.116,1545,1003,FALSE
135,2016-02-15 15:08:00,4.4,0.14,8.39,755,235,0.018,0.116,1582,1000,FALSE
136,2016-02-15 15:09:00,4.4,0.14,8.39,755,235,0.016,0.116,1539,991,FALSE
137,2016-02-15 15:10:00,4.4,0.14,8.39,755,235,0.015,0.116,1574,996,FALSE
138,2016-02-15 15:11:00,4.4,0.14,8.39,755,235,0.019,0.116,1598,1002,FALSE
139,2016-02-15 15:12:00,4.4,0.14,8.39,755,235,0.013,0.114,1586,1000,FALSE
140,2016-02-15 15:13:00,4.4,0.14,8.39,755,235,0.012,0.116,1581,1000,FALSE
141,2016-02-15 15:14:00,4.4,0.14,8.38,755,235,0.014,0.114,1593,996,FALSE
142,2016-02-15 15:15:00,4.4,0.14,8.38,755,235,0.014,0.116,1570,1000,FALSE
143,2016-02-15 15:16:00,4.4,0.14,8.38,755,235,0.015,0.116,1613,997,FALSE
144,2016-02-15 15:17:00,4.4,0.14,8.38,755,235,0.014,0.114,1660,991,FALSE
145,2016-02-15 15:18:00,4.4,0.14,8.38,755,235,0.019,0.114,1620,997,FALSE
146,2016-02-15 15:19:00,4.4,0.14,8.38,755,235,0.015,0.114,1649,991,FALSE
147,2016-02-15 15:20:00,4.4,0.14,8.37,755,235,0.012,0.114,1561,1001,FALSE
148,2016-02-15 15:21:00,4.4,0.14,8.37,755,235,0.019,0.114,1605,995,FALSE
149,2016-02-15 15:22:00,4.4,0.14,8.36,755,235,0.012,0.114,1535,1000,FALSE
150,2016-02-15 15:23:00,4.4,0.14,8.36,755,235,0.018,0.114,1608,997,FALSE
13971,2016-02-25 05:44:00,4,0.14,8.24,756,235,0.015,0.113,1476,916,FALSE
13972,2016-02-25 05:45:00,4,0.14,8.24,756,235,0.015,0.114,1478,916,FALSE
13973,2016-02-25 05:46:00,4,0.14,8.24,756,235,0.011,0.113,1445,925,FALSE
13974,2016-02-25 05:47:00,4,0.14,8.26,756,235,0.014,0.11,1436,922,FALSE
13975,2016-02-25 05:48:00,4,0.14,8.26,756,235,0.017,0.113,1447,927,FALSE
13976,2016-02-25 05:49:00,4,0.14,8.26,756,235,0.021,0.11,1468,922,FALSE
13977,2016-02-25 05:50:00,4,0.14,8.26,756,235,0.017,0.11,1417,918,FALSE
13978,2016-02-25 05:51:00,4,0.13,8.26,756,235,0.014,0.11,1418,921,FALSE
13979,2016-02-25 05:52:00,4,0.13,8.26,756,235,0.014,0.109,1468,921,FALSE
13980,2016-02-25 05:53:00,4,0.13,8.28,756,235,0.013,0.11,1482,924,FALSE
13981,2016-02-25 05:54:00,4,0.14,8.28,756,235,0.009,0.11,1423,914,FALSE
13982,2016-02-25 05:55:00,4,0.13,8.28,756,235,0.015,0.11,1428,922,FALSE
13983,2016-02-25 05:56:00,4,0.13,8.28,756,235,0.013,0.109,1466,927,FALSE
13984,2016-02-25 05:57:00,4,0.13,8.29,756,235,0.011,0.11,1462,918,FALSE
13985,2016-02-25 05:58:00,4,0.13,8.29,756,235,0.016,0.11,1457,914,FALSE
13986,2016-02-25 05:59:00,4,0.13,8.29,756,235,0.009,0.11,1451,907,FALSE
13987,2016-02-25 06:00:00,4,0.13,8.3,756,235,0.013,0.109,1526,920,FALSE
13988,2016-02-25 06:01:00,4,0.13,8.31,756,235,0.012,0.11,1471,914,FALSE
13989,2016-02-25 06:02:00,4,0.13,8.31,756,235,0.018,0.111,1443,915,FALSE
13990,2016-02-25 06:03:00,4,0.13,8.32,756,235,0.017,0.11,1504,918,FALSE
13991,2016-02-25 06:04:00,4,0.13,8.32,756,235,0.016,0.11,1454,916,FALSE
13992,2016-02-25 06:05:00,4,0.13,8.33,756,235,0.012,0.11,1532,921,FALSE
13993,2016-02-25 06:06:00,4,0.13,8.33,756,235,0.018,0.11,1466,925,FALSE
13994,2016-02-25 06:07:00,4,0.13,8.33,756,235,0.015,0.111,1454,915,FALSE
13995,2016-02-25 06:08:00,4,0.13,8.33,756,235,0.016,0.11,1472,916,FALSE
13996,2016-02-25 06:09:00,4,0.13,8.33,756,235,0.012,0.111,1521,914,FALSE
13997,2016-02-25 06:10:00,4,0.13,8.34,756,235,0.016,0.11,1465,915,FALSE
13998,2016-02-25 06:11:00,4,0.13,8.34,756,235,0.016,0.11,1500,918,FALSE
13999,2016-02-25 06:12:00,4,0.13,8.34,756,235,0.014,0.114,1472,925,FALSE
14000,2016-02-25 06:13:00,4,0.13,8.34,756,235,0.021,0.114,1510,922,FALSE
14001,2016-02-25 06:14:00,4,0.13,8.33,756,235,0.014,0.114,1396,916,FALSE
14002,2016-02-25 06:15:00,4,0.13,8.33,756,235,0.008,0.113,1406,920,FALSE
14003,2016-02-25 06:16:00,4.1,0.13,8.32,756,235,0.014,0.114,1418,921,FALSE
14004,2016-02-25 06:17:00,4,0.13,8.32,756,235,0.018,0.114,1425,921,FALSE
14005,2016-02-25 06:18:00,4,0.13,8.32,756,235,0.019,0.114,1452,918,FALSE
14006,2016-02-25 06:19:00,4,0.13,8.31,756,235,0.015,0.114,1424,932,FALSE
14007,2016-02-25 06:20:00,4,0.12,8.3,757,235,0.016,0.114,1402,927,FALSE
14008,2016-02-25 06:21:00,4,0.12,8.29,757,235,0.014,0.116,1472,924,FALSE
14009,2016-02-25 06:22:00,4,0.13,8.29,757,235,0.012,0.114,1420,927,FALSE
14010,2016-02-25 06:23:00,4,0.12,8.28,757,235,0.016,0.116,1440,922,FALSE
14011,2016-02-25 06:24:00,4,0.13,8.28,757,235,0.012,0.114,1429,922,FALSE
14012,2016-02-25 06:25:00,4,0.13,8.28,757,235,0.015,0.116,1423,928,FALSE
14013,2016-02-25 06:26:00,4.1,0.13,8.27,757,235,0.013,0.114,1430,921,FALSE
14014,2016-02-25 06:27:00,4,0.13,8.28,757,235,0.012,0.114,1447,924,FALSE
14015,2016-02-25 06:28:00,4,0.13,8.27,757,235,0.015,0.116,1400,924,FALSE
14016,2016-02-25 06:29:00,4.1,0.13,8.26,757,235,0.017,0.114,1414,924,FALSE
14017,2016-02-25 06:30:00,4,0.13,8.26,757,235,0.013,0.114,1402,918,FALSE
14018,2016-02-25 06:31:00,4,0.12,8.25,756,235,0.02,0.114,1437,922,FALSE
14019,2016-02-25 06:32:00,4,0.13,8.25,756,235,0.015,0.114,1443,920,FALSE
14020,2016-02-25 06:33:00,4,0.13,8.25,756,235,0.016,0.114,1416,920,FALSE
14021,2016-02-25 06:34:00,4.1,0.13,4.01,767,235,0.017,0.012,1440,921,TRUE
14022,2016-02-25 06:35:00,4,0.13,4.01,580,235,0.014,0.002,1416,920,TRUE
14023,2016-02-25 06:36:00,4,0.13,4,583,235,0.012,0.001,1366,918,TRUE
14024,2016-02-25 06:37:00,4,0.13,4,584,235,0.015,0,1394,930,TRUE
14025,2016-02-25 06:38:00,4,0.13,4,584,235,0.013,0,1408,924,TRUE
14026,2016-02-25 06:39:00,4,0.13,4,585,235,0.016,0,1400,914,TRUE
14027,2016-02-25 06:40:00,4,0.13,4,585,235,0.019,0,1468,920,TRUE
14028,2016-02-25 06:41:00,4,0.13,4,585,235,0.019,0,1428,921,TRUE
14029,2016-02-25 06:42:00,4,0.13,4,585,235,0.022,0,1416,920,TRUE
14030,2016-02-25 06:43:00,4,0.13,4,585,235,0.013,0,1425,920,TRUE
14031,2016-02-25 06:44:00,4.1,0.13,4,585,235,0.016,0,1428,921,TRUE
14032,2016-02-25 06:45:00,4,0.13,4,585,235,0.01,0,1431,914,TRUE
14033,2016-02-25 06:46:00,4,0.13,4,585,235,0.014,0,1429,920,TRUE
14034,2016-02-25 06:47:00,4,0.13,4,585,235,0.019,0,1447,922,TRUE
14035,2016-02-25 06:48:00,4,0.13,4,585,235,0.017,0,1425,920,TRUE
14036,2016-02-25 06:49:00,4.1,0.13,4,585,235,0.016,0,1446,920,TRUE
14037,2016-02-25 06:50:00,4,0.13,4,585,235,0.016,0,1440,916,TRUE
14038,2016-02-25 06:51:00,4,0.13,4,585,235,0.016,0,1379,920,TRUE
14039,2016-02-25 06:52:00,4.1,0.13,4,584,235,0.018,0,1428,922,TRUE
14040,2016-02-25 06:53:00,4,0.13,4,584,235,0.013,0,1423,920,TRUE
14041,2016-02-25 06:54:00,4,0.13,4,584,235,0.015,0,1381,920,TRUE
14042,2016-02-25 06:55:00,4,0.13,4,584,235,0.016,0,1452,921,TRUE
14043,2016-02-25 06:56:00,4,0.13,4,584,235,0.012,0,1465,927,TRUE
14044,2016-02-25 06:57:00,4,0.13,4,584,235,0.015,0,1443,921,TRUE
14045,2016-02-25 06:58:00,4,0.13,4,584,235,0.013,0,1437,916,TRUE
14046,2016-02-25 06:59:00,4,0.13,4,583,235,0.017,0,1454,914,TRUE
14047,2016-02-25 07:00:00,4,0.13,4,594,2500,0.012,1,1437,916,TRUE
14048,2016-02-25 07:01:00,4,0.13,4,610,1939,0.013,0.493,1465,913,TRUE
14049,2016-02-25 07:02:00,4,0.13,4,607,358,0.016,0,1445,918,TRUE
14050,2016-02-25 07:03:00,4,0.13,6.71,535,252,0.016,0,1549,920,TRUE
14051,2016-02-25 07:04:00,4,0.13,7.67,516,238,0.015,0.011,1443,925,TRUE
14052,2016-02-25 07:05:00,4,0.13,8.16,504,238,0.012,0.049,1487,922,TRUE
14053,2016-02-25 07:06:00,4,0.13,8.29,512,235,0.013,0.068,1446,930,TRUE
14054,2016-02-25 07:07:00,4,0.13,8.34,523,235,0.015,0.077,1458,925,TRUE
14055,2016-02-25 07:08:00,4,0.13,8.36,531,235,0.014,0.081,1430,924,TRUE
14056,2016-02-25 07:09:00,4,0.13,8.36,539,235,0.016,0.087,1440,915,TRUE
14057,2016-02-25 07:10:00,4,0.13,8.37,548,235,0.016,0.089,1429,920,TRUE
14058,2016-02-25 07:11:00,4,0.13,8.37,557,235,0.017,0.091,1425,918,TRUE
14059,2016-02-25 07:12:00,4,0.13,8.37,565,235,0.017,0.094,1472,925,TRUE
14060,2016-02-25 07:13:00,4,0.13,8.38,574,235,0.016,0.096,1418,922,TRUE
14061,2016-02-25 07:14:00,4,0.14,8.38,578,235,0.014,0.098,1430,916,TRUE
14062,2016-02-25 07:15:00,4,0.14,8.38,587,235,0.013,0.099,1422,918,TRUE
14063,2016-02-25 07:16:00,4,0.14,8.38,595,235,0.014,0.099,1443,920,TRUE
14064,2016-02-25 07:17:00,4,0.14,8.38,601,235,0.015,0.099,1407,922,TRUE
14065,2016-02-25 07:18:00,4,0.14,8.38,609,235,0.02,0.099,1429,916,TRUE
14066,2016-02-25 07:19:00,4,0.14,8.38,616,235,0.018,0.102,1420,921,TRUE
14067,2016-02-25 07:20:00,4,0.14,8.38,621,235,0.018,0.102,1422,915,TRUE
14068,2016-02-25 07:21:00,4,0.14,8.38,628,235,0.017,0.102,1481,921,TRUE
14069,2016-02-25 07:22:00,4,0.14,8.38,635,235,0.018,0.102,1454,915,TRUE
14070,2016-02-25 07:23:00,4,0.14,8.38,643,235,0.015,0.103,1446,921,TRUE
14071,2016-02-25 07:24:00,4,0.14,8.38,649,235,0.014,0.103,1391,922,TRUE
14072,2016-02-25 07:25:00,4,0.14,8.38,656,235,0.022,0.102,1424,925,TRUE
14073,2016-02-25 07:26:00,4,0.14,8.37,661,235,0.018,0.103,1416,924,TRUE
14074,2016-02-25 07:27:00,4,0.14,8.38,667,235,0.016,0.103,1387,918,TRUE
14075,2016-02-25 07:28:00,4,0.14,8.37,673,235,0.012,0.103,1439,920,TRUE
14076,2016-02-25 07:29:00,4,0.14,8.37,680,235,0.011,0.103,1431,918,TRUE
14077,2016-02-25 07:30:00,4,0.14,8.37,684,235,0.017,0.103,1423,920,TRUE
14078,2016-02-25 07:31:00,4,0.14,8.36,690,235,0.013,0.102,1445,924,TRUE
14079,2016-02-25 07:32:00,4,0.14,8.37,695,235,0.017,0.103,1384,916,TRUE
14080,2016-02-25 07:33:00,4,0.14,8.37,698,235,0.017,0.104,1408,924,TRUE
14081,2016-02-25 07:34:00,4,0.14,8.36,714,235,0.011,0.104,1430,930,FALSE
14082,2016-02-25 07:35:00,4,0.14,8.36,717,235,0.016,0.104,1407,937,FALSE
14083,2016-02-25 07:36:00,4,0.14,8.36,719,235,0.017,0.106,1429,934,FALSE
14084,2016-02-25 07:37:00,4,0.14,8.36,721,235,0.012,0.106,1539,936,FALSE
14085,2016-02-25 07:38:00,4,0.14,8.36,721,235,0.014,0.106,1476,936,FALSE
14086,2016-02-25 07:39:00,4,0.14,8.35,724,235,0.013,0.106,1420,936,FALSE
14087,2016-02-25 07:40:00,4,0.14,8.36,726,235,0.012,0.106,1431,924,FALSE
14088,2016-02-25 07:41:00,4,0.14,8.36,726,235,0.012,0.106,1468,930,FALSE
14089,2016-02-25 07:42:00,4,0.14,8.35,728,235,0.017,0.109,1401,930,FALSE
14090,2016-02-25 07:43:00,4,0.14,8.35,729,235,0.01,0.107,1442,927,FALSE
14091,2016-02-25 07:44:00,4,0.13,8.35,729,235,0.01,0.109,1408,934,FALSE
14092,2016-02-25 07:45:00,4,0.13,8.35,731,235,0.013,0.11,1401,930,FALSE
14093,2016-02-25 07:46:00,4,0.13,8.36,732,235,0.018,0.11,1504,922,FALSE
14094,2016-02-25 07:47:00,4,0.13,8.35,733,235,0.016,0.11,1440,925,FALSE
14095,2016-02-25 07:48:00,4,0.13,8.34,734,235,0.011,0.11,1395,931,FALSE
14096,2016-02-25 07:49:00,4,0.13,8.36,734,235,0.014,0.111,1423,931,FALSE
14097,2016-02-25 07:50:00,4,0.13,8.34,734,235,0.019,0.11,1466,930,FALSE
14098,2016-02-25 07:51:00,4,0.13,8.35,735,235,0.011,0.111,1387,927,FALSE
14099,2016-02-25 07:52:00,4.1,0.13,8.35,736,235,0.017,0.11,1402,928,FALSE
14100,2016-02-25 07:53:00,4,0.13,8.35,736,235,0.017,0.11,1422,930,FALSE
14101,2016-02-25 07:54:00,4,0.13,8.36,737,235,0.015,0.11,1391,928,FALSE
14102,2016-02-25 07:55:00,4,0.13,8.34,737,235,0.01,0.113,1408,930,FALSE
14103,2016-02-25 07:56:00,4,0.13,8.36,738,235,0.018,0.114,1399,930,FALSE
14104,2016-02-25 07:57:00,4.1,0.14,8.25,737,235,0.016,0.111,1377,928,FALSE
14105,2016-02-25 07:58:00,4,0.13,8.3,734,235,0.015,0.113,1395,922,FALSE
